NAME,B19013_001E,state,Year
New Mexico,53992,35,2021
New York,74314,36,2021
North Carolina,61972,37,2021
North Dakota,66519,38,2021
Ohio,62262,39,2021
Oklahoma,55826,40,2021
Oregon,71562,41,2021
Pennsylvania,68957,42,2021
Rhode Island,74008,44,2021
South Carolina,59318,45,2021
South Dakota,66143,46,2021
Tennessee,59695,47,2021
Texas,66963,48,2021
Utah,79449,49,2021
Vermont,72431,50,2021
Virginia,80963,51,2021
Washington,84247,53,2021
West Virginia,51248,54,2021
Wisconsin,67125,55,2021
Wyoming,65204,56,2021
Alaska,77845,02,2021
Alabama,59674,01,2022
Alaska,88121,02,2022
Arizona,74568,04,2022
Arkansas,55432,05,2022
California,91551,06,2022
Colorado,89302,08,2022
Connecticut,88429,09,2022
Delaware,82174,10,2022
District of Columbia,101027,11,2022
Florida,69303,12,2022
Georgia,72837,13,2022
Hawaii,92458,15,2022
Idaho,72785,16,2022
Illinois,76708,17,2022
Indiana,66785,18,2022
Iowa,69588,19,2022
Kansas,68925,20,2022
Kentucky,59341,21,2022
Louisiana,55416,22,2022
Maine,69543,23,2022
Maryland,94991,24,2022
Massachusetts,94488,25,2022
Michigan,66986,26,2022
Minnesota,82338,27,2022
Mississippi,52719,28,2022
Missouri,64811,29,2022
Montana,67631,30,2022
Nebraska,69597,31,2022
Nevada,72333,32,2022
New Hampshire,89992,33,2022
New Jersey,96346,34,2022
New Mexico,59726,35,2022
New York,79557,36,2022
North Carolina,67481,37,2022
North Dakota,71970,38,2022
Ohio,65720,39,2022
Oklahoma,59673,40,2022
Oregon,75657,41,2022
Pennsylvania,71798,42,2022
Rhode Island,81854,44,2022
South Carolina,64115,45,2022
South Dakota,69728,46,2022
Tennessee,65254,47,2022
Texas,72284,48,2022
Utah,89168,49,2022
Vermont,73991,50,2022
Virginia,85873,51,2022
Washington,91306,53,2022
West Virginia,54329,54,2022
Wisconsin,70996,55,2022
Wyoming,70042,56,2022
Puerto Rico,24112,72,2022
